Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,139.070007,139.100006,137.570007,137.619995,3443300,132.56838
2015-12-30,139.580002,140.440002,139.220001,139.339996,2989400,134.225245
2015-12-29,138.25,140.059998,138.199997,139.779999,3943700,134.649097
2015-12-28,137.740005,138.039993,136.539993,137.610001,3143400,132.558753
2015-12-24,138.429993,138.880005,138.110001,138.25,1495200,133.175259
2015-12-23,138.300003,139.309998,138.110001,138.539993,5164900,133.454608
2015-12-22,135.880005,138.190002,135.649994,137.929993,4263800,132.866999
2015-12-21,135.830002,135.830002,134.020004,135.50,5617500,130.526204
2015-12-18,136.410004,136.960007,134.270004,134.899994,10026100,129.948222
2015-12-17,139.350006,139.50,136.309998,136.75,4089500,131.73032
2015-12-16,139.119995,139.649994,137.789993,139.289993,4345500,134.177078
2015-12-15,137.399994,138.970001,137.279999,137.789993,4238500,132.732138
2015-12-14,135.309998,136.139999,134.020004,135.929993,5143800,130.940413
2015-12-11,135.229996,135.440002,133.910004,134.570007,5333800,129.630348
2015-12-10,137.029999,137.850006,135.720001,136.779999,4754800,131.759218
2015-12-09,137.380005,139.839996,136.229996,136.610001,4615000,131.595459
2015-12-08,138.279999,139.059998,137.529999,138.050003,3905200,132.982604
2015-12-07,140.160004,140.410004,138.809998,139.550003,3279400,134.427543
2015-12-04,138.089996,141.020004,137.990005,140.429993,4571600,135.275231
2015-12-03,140.100006,140.729996,138.190002,138.919998,5909600,133.820664
2015-12-02,140.929993,141.210007,139.50,139.699997,3725400,134.572031
2015-12-01,139.580002,141.399994,139.580002,141.279999,4195100,136.094036
2015-11-30,138.610001,139.899994,138.520004,139.419998,4545600,134.302311
2015-11-27,138.00,138.809998,137.210007,138.460007,1415800,133.377557
2015-11-25,138.369995,138.429993,137.380005,138.00,3238200,132.934436
2015-11-24,137.649994,139.339996,137.309998,138.600006,3407700,133.512418
2015-11-23,138.529999,138.869995,137.119995,138.460007,5137900,133.377557
2015-11-20,137.369995,138.919998,137.25,138.50,5176400,133.416083
2015-11-19,136.210007,137.740005,136.009995,136.740005,4753600,131.720692
2015-11-18,134.789993,135.910004,134.259995,135.820007,4149200,130.834464
2015-11-17,134.220001,134.820007,133.309998,133.820007,2815100,128.907878
2015-11-16,131.789993,134.089996,131.789993,133.710007,4190800,128.801916
2015-11-13,132.949997,133.00,131.649994,131.75,4613800,126.913855
2015-11-12,134.699997,134.699997,133.009995,133.039993,4701400,128.156496
2015-11-11,136.089996,136.199997,134.50,135.020004,3164800,130.063827
2015-11-10,135.360001,135.740005,134.119995,135.470001,4520800,130.497306
2015-11-09,137.919998,138.080002,134.880005,135.309998,8075600,130.343176
2015-11-06,138.600006,139.550003,137.869995,138.25,4744900,133.175259
2015-11-05,141.610001,142.380005,139.630005,139.889999,5096900,133.502778
2015-11-04,142.550003,142.649994,141.300003,141.630005,3516900,135.163337
2015-11-03,140.020004,142.800003,139.899994,141.880005,4349400,135.401922
2015-11-02,140.50,140.520004,139.570007,140.369995,3822200,133.960857
2015-10-30,140.440002,141.330002,139.899994,140.080002,3984000,133.684105
2015-10-29,140.360001,140.820007,139.020004,140.550003,3710400,134.132646
2015-10-28,137.919998,141.229996,137.50,140.830002,8511400,134.399861
2015-10-27,143.509995,143.830002,137.330002,137.860001,15008500,131.565466
2015-10-26,144.75,145.00,143.210007,143.660004,3489400,137.100648
2015-10-23,144.610001,145.490005,143.699997,144.679993,5370400,138.074065
2015-10-22,141.740005,145.070007,141.619995,144.089996,5583200,137.511008
2015-10-21,140.25,142.660004,139.300003,140.919998,6990600,134.485748
